"sr_no","pic","name_of_dam","operated_maintained_by","latitude","longitude","year_of_completion","river_basin","river","neareast_city","seismic_zone","dam_type","height_above_lowest_foundation_level","dam_length","volume_content_of_dam","gross_storage_capacity","reservoir_area","effective_storage_capacity","purpose","designed_spillway_capacity"
941,"MH09LH0952","RASA","Maharashtra Water Resources Department","19° 57 ' 52""","78° 51 ' 3""",1983,"Godavari","Local Nalla","Wani","II","Earthfill_Embankment",10.66,848,1080000,1320000,1080000,1260000,"I",92
942,"MH09LH0953","DEOCOPE","Maharashtra Water Resources Department","19° 43 ' 9""","72° 48 ' 42""",1983,"West Flowing Rivers from Tapi to Tadri","Local Nala","Palghar","III","Earthfill_Embankment",14.21,739.6,216700,3340000,539000,3285000,"I",101.23
943,"MH09LH0954","WANI","Maharashtra Water Resources Department","20° 37 ' 11""","79° 18 ' 5""",1983,"Godavari","Local Nalla","Bhivapur","II","Earthfill_Embankment",11.08,434,58000,2124000,32000,2021000,"I",111
944,"MH09LH0955","BOMNALI","Maharashtra Water Resources Department","19° 4 ' 47""","77° 15 ' 54""",1983,"Godavari","Local","Nanded","II","Earthfill_Embankment",12.5,698,108000,1120000,NA,1090000,"I",132
945,"MH09MH0956","WADIWARHE","Maharashtra Water Resources Department","19° 51 ' 48""","73° 39 ' 55""",1983,"Godavari","Local Nalla","Igatpuri","III","Earthfill_Embankment",18.64,515,259560,1737000,324000,1647000,"I",140
946,"MH09MH0957","BHADANE","Maharashtra Water Resources Department","20° 33 ' 49""","73° 2 ' 4""",1983,"Tapi","Tambdi","Kalwan","III","Earthfill_Embankment",18.1,788,184000,1520000,325000,1440000,"I",145
947,"MH09MH0959","HIWARKHED","Maharashtra Water Resources Department","20° 40 ' 54""","76° 23 ' 32""",1983,"Tapi","Local Nalla","Khamgaon","II","Earthfill_Embankment",15.03,423,108000,1030000,430000,950000,"I",192
948,"MH09MH0960","ANCHALE","Maharashtra Water Resources Department","20° 52 ' 44""","74° 49 ' 19""",1983,"Tapi","Kanheri","Dhule","III","Earthfill_Embankment",16.41,594,94000,1050000,2e+05,940000,"I",198.78
949,"MH09LH0961","KATEGAON","Maharashtra Water Resources Department","18° 29 ' 5""","75° 12 ' 37""",1983,"Krishna","Kategaon Nalla","Barshi","III","Earthfill_Embankment",10.67,426.7,124000,1360000,4400000,1246000,"I",206.14
950,"MH09LH0962","KHANDALA","Maharashtra Water Resources Department","20° 10 ' 36""","76° 34 ' 47""",1983,"Godavari","Local Nalla","Mehkar","II","Earthfill_Embankment",14.6,495,52170,1290000,51000,1180000,"I",207.02
951,"MH09MH0963","BHUGAON","Maharashtra Water Resources Department","18° 29 ' 50""","73° 44 ' 16""",1983,"Krishna","Local Nalla","Mulshi","III","Earthfill_Embankment",21.19,550,216000,1900000,4221000,1800000,"I",208
952,"MH09MH0964","URWADE","Maharashtra Water Resources Department","18° 29 ' 10""","73° 39 ' 34""",1983,"Krishna","local Nalla","Mulshi","III","Earthfill_Embankment",23.48,693,246000,2e+06,299000,1890000,"I",208
953,"MH09MH0965","RAMJIWADI","Maharashtra Water Resources Department","19° 12 ' 50""","73° 40 ' 56""",1983,"Krishna","Meena","Junnar","III","Earthfill_Embankment",21.48,314,116000,1728000,183000,1416000,"I",209
954,"MH09MH0966","CHAFAL","Maharashtra Water Resources Department","17° 24 ' 24""","74° 0 ' 28""",1983,"Krishna","Local Nalla","Patan.","IV","Earthfill_Embankment",21.5,576,152000,1440000,452000,1300000,"I",228
955,"MH09LH0967","SHELGAON (R)","Maharashtra Water Resources Department","17° 54 ' 7""","75° 50 ' 19""",1983,"Krishna","local Nalla","Barshi","III","Earthfill_Embankment",11.45,1155,148000,3271510,10100000,2690000,"I",230
956,"MH09LH0968","NAGALGAON","Maharashtra Water Resources Department","18° 24 ' 38""","77° 11 ' 0""",1983,"Godavari","Local Nalla","Udgir","II","Earthfill_Embankment",13.9,NA,128570,1529000,46000,1407000,"I",241
957,"MH09LH0969","HAWARGA","Maharashtra Water Resources Department","18° 37 ' 16""","77° 5 ' 21""",1983,"Godavari","Local Nalla","Ahmedpur","II","Earthfill_Embankment",12.4,1095,144000,1308000,559000,1178000,"I",249
958,"MH09LH0970","KEHAL","Maharashtra Water Resources Department","19° 39 ' 28""","76° 44 ' 5""",1983,"Godavari","Local Nalla","Jintur","II","Earthfill_Embankment",14,437,50000,1800000,690000,1655000,"I",255
959,"MH09LH0971","PIMPALGAON CHILAM","Maharashtra Water Resources Department","20° 3 ' 6""","76° 1 ' 15""",1983,"Godavari","Local Nalla","Deulgaon Raja","II","Earthfill_Embankment",13.6,586,59340,1270000,32000,1160000,"I",255.1
960,"MH09LH0972","WANWADA","Maharashtra Water Resources Department","18° 11 ' 49""","76° 28 ' 16""",1993,"Godavari","Local Nalla","Ausa","III","Earthfill_Embankment",11.68,1590,241000,1514000,740000,1350000,"I",282
961,"MH09MH0973","CHARE","Maharashtra Water Resources Department","18° 22 ' 36""","75° 48 ' 4""",1983,"Krishna","Masoba Nalla","Barshi","III","Earthfill_Embankment",16.5,512.5,1870,1502000,421000,1331000,"I",286.11
962,"MH09LH0974","MAULZARI","Maharashtra Water Resources Department","20° 2 ' 51""","79° 2 ' 27""",1983,"Godavari","Local Nalla","Chandrapur","III","Earthfill_Embankment",11.2,1050,114000,2430000,879000,2290000,"I",293
963,"MH09MH0975","KHINDWADI","Maharashtra Water Resources Department","17° 56 ' 49""","73° 24 ' 35""",1983,"West Flowing Rivers from Tapi to Tadri","Local Nala","Mahad","IV","Earthfill_Embankment",25.07,415,137730,2411000,352000,2136000,"I",296
964,"MH09MH0976","BUBALI","Maharashtra Water Resources Department","20° 32 ' 54""","73° 39 ' 25""",1983,"West Flowing Rivers from Tapi to Tadri","Amati","Surgana","III","Earthfill_Embankment",20.9,457,18000,1629000,249760,1610000,"I",332.96
965,"MH09LH0977","CHIKKEHALLI","Maharashtra Water Resources Department","17° 30 ' 29""","76° 18 ' 19""",1983,"Krishna","Local Nalla","Akkalkot","II","Earthfill_Embankment",11.15,608,18000,1896600,757100,1727000,"I",327
966,"MH09MH0978","BHALUR","Maharashtra Water Resources Department","18° 49 ' 17""","76° 9 ' 7""",1983,"Tapi","Saki","Nandgaon","III","Earthfill_Embankment",16.58,373,170950,1160000,356660,960000,"I",349
967,"MH09MH0979","LAWAKI","Maharashtra Water Resources Department","19° 15 ' 29""","77° 22 ' 58""",1983,"Tapi","Local Nalla","Sirpur","III","Earthfill_Embankment",17.25,295,82000,2020000,2e+05,1820000,"I",349
968,"MH09LH0980","KEDARPUR","Maharashtra Water Resources Department","18° 11 ' 23""","76° 49 ' 52""",1983,"Godavari","Local Nalla","Nilanga","II","Earthfill_Embankment",11.33,107,132000,2357000,889000,2155000,"I",354
969,"MH09LH0981","KEKATPUR","Maharashtra Water Resources Department","21° 5 ' 42""","77° 57 ' 45""",1983,"Godavari","Local Nalla","Amarawati","II","Earthfill_Embankment",13.76,559,143000,2564000,565000,2334000,"I",360
970,"MH09LH0982","AMDORI","Maharashtra Water Resources Department","20° 51 ' 40""","78° 2 ' 19""",1983,"Godavari","Local Nalla","Tivasa","II","Earthfill_Embankment",13.3,740,116000,2816000,321000,2529000,"I",366.2
971,"MH09LH0983","JATEGAON","Maharashtra Water Resources Department","20° 3 ' 40""","75° 30 ' 49""",1983,"Godavari","Local Nalla","Phulambri","II","Earthfill_Embankment",13.4,877,140000,2110000,702000,1900000,"I",369
972,"MH09LH0984","SAKUR","Maharashtra Water Resources Department","19° 22 ' 53""","74° 17 ' 46""",1983,"Godavari","Wagh","Sangamner","III","Earthfill_Embankment",11.9,555,75280,790000,3e+05,590000,"I",371.84
973,"MH09LH0985","KINI","Maharashtra Water Resources Department","19° 15 ' 6""","77° 47 ' 51""",1983,"Godavari","Local Nalla","Bhokar","II","Earthfill_Embankment",11.43,1003,138000,2187000,970000,1996000,"I",394
974,"MH09MH0986","NAIGAON 1","Maharashtra Water Resources Department","18° 5 ' 39""","73° 57 ' 0""",1983,"Krishna","Local Nalla","Khandala.","III","Earthfill_Embankment",18,800,1340000,1336000,2880000,1124000,"I",396.29
975,"MH09LH0987","NEWALI","Maharashtra Water Resources Department","18° 21 ' 27""","76° 17 ' 45""",1983,"Godavari","Local Nalla","Latur","III","Earthfill_Embankment",10.8,124,106000,3140000,90000,2900000,"I",410
976,"MH09MH0988","NAIGAON 2","Maharashtra Water Resources Department","18° 5 ' 30""","73° 57 ' 20""",1983,"Krishna","Local Nalla","Khandala.","III","Earthfill_Embankment",16.46,520,297000,1340000,255600,1120000,"I",423
977,"MH09LH0989","KALAMBWADI","Maharashtra Water Resources Department","18° 21 ' 13""","75° 46 ' 0""",1983,"Krishna","Local Nalla","Barshi","III","Earthfill_Embankment",14.7,653,137000,2690000,161090,2322000,"I",433
978,"MH09LH0990","LAMKHANE","Maharashtra Water Resources Department","19° 8 ' 3""","77° 40 ' 55""",1983,"Godavari","Local Nalla","Bhokar","II","Earthfill_Embankment",11.58,1350,119000,2950000,980000,2690000,"I",433
979,"MH09LH0991","WALWAD","Maharashtra Water Resources Department","18° 22 ' 7""","75° 49 ' 33""",1983,"Krishna","Local Nalla","Barshi","III","Earthfill_Embankment",14.68,822,118000,1190000,470000,906000,"I",440.6
980,"MH09LH0992","TAWADI","Maharashtra Water Resources Department","18° 14 ' 10""","75° 45 ' 48""",1983,"Krishna","Local Nalla","Barshi","III","Earthfill_Embankment",11.9,1811,76000,1248230,6500000,1104000,"I",440
981,"MH09LH0993","NIMGAON (MADHA)","Maharashtra Water Resources Department","18° 3 ' 21""","75° 16 ' 7""",1983,"Krishna","local Nalla","Madha.","III","Earthfill_Embankment",10.4,1202,96000,1730000,849400,1470000,"I",446
982,"MH09MH0994","KESHAVSHIVANI","Maharashtra Water Resources Department","20° 2 ' 43""","76° 17 ' 53""",1983,"Godavari","Local Nalla","Shindkhed Raja","II","Earthfill_Embankment",16.1,588,140000,2370000,731000,2120000,"I",464
983,"MH09LH0995","GORMALE","Maharashtra Water Resources Department","18° 14 ' 17""","75° 50 ' 28""",1983,"Krishna","local Nalla","Barshi","III","Earthfill_Embankment",10.87,660,141000,1744350,9400000,1387000,"I",547
984,"MH09MH0996","DUDHEBHAVI","Maharashtra Water Resources Department","17° 9 ' 29""","75° 0 ' 15""",1983,"Krishna","Local Nalla","Kawathe Mahankal","III","Earthfill_Embankment",19.33,480,26000,3984000,1173000,3456000,"I",568
985,"MH09MH0997","PANCHANADI","Maharashtra Water Resources Department","17° 57 ' 44""","73° 19 ' 4""",1983,"West Flowing Rivers from Tapi to Tadri","Local Nala","Dapoli","IV","Earthfill_Embankment",27.52,250,109610,1738000,262600,1461000,"I",731
986,"MH09MH0998","BELAPUR BADGI","Maharashtra Water Resources Department","19° 17 ' 38""","74° 4 ' 31""",1983,"Godavari","Kas","Akole","III","Earthfill_Embankment",19.93,1212,151390,2680000,480000,2220000,"I",740
987,"MH09LH0999","DARFAL BB","Maharashtra Water Resources Department","17° 48 ' 26""","75° 47 ' 39""",1983,"Krishna","local Nalla","N.Solapur","III","Earthfill_Embankment",12.15,1410,139000,2891200,1194300,2492000,"I",744.96
988,"MH09LH1000","CHANDAI","Maharashtra Water Resources Department","20° 25 ' 17""","79° 13 ' 0""",1983,"Godavari","Chandai","Varora","II","Earthfill_Embankment",11.91,1830,181000,13200000,523000,10690000,"I",842.85
989,"MH09LH1001","MAMDAPUR","Maharashtra Water Resources Department","18° 16 ' 0""","75° 50 ' 32""",1983,"Krishna","local Nalla","Barshi","III","Earthfill_Embankment",14.5,1189,101000,2527330,1004000,1897000,"I",878
990,"MH09MH1002","SORDI","Maharashtra Water Resources Department","17° 3 ' 10""","75° 22 ' 18""",1983,"Krishna","Savalodha","Jath","III","Earthfill_Embankment",18.08,620,219000,4410000,712000,3750000,"I",921
991,"MH09MH1003","ALANDI","Maharashtra Water Resources Department","20° 6 ' 38""","73° 41 ' 2""",1983,"Godavari","Alandi","Nashik","III","Earthfill_Embankment",29.28,1690,2782000,29535000,5180000,27468000,"I",1002
992,"MH09MH1004","TURORI","Maharashtra Water Resources Department","17° 48 ' 10""","76° 40 ' 43""",1983,"Krishna","local Nalla","Umarga","II","Earthfill_Embankment",17.5,1192,355000,7660000,2210000,6200000,"I",1096
993,"MH09MH1005","BORNA","Maharashtra Water Resources Department","18° 51 ' 30""","76° 36 ' 16""",1983,"Godavari","Bornalla","Ambajogai","II","Earthfill_Embankment",22.3,866,460000,10814000,3470000,8972000,"I",1249
994,"MH09HH1006","WADAJ","Maharashtra Water Resources Department","19° 9 ' 22""","73° 51 ' 28""",1983,"Krishna","Meena","Junnar","III","Other",28,1935,1009000,35940000,4600000,33110000,"I",1426
995,"MH09LH1007","CHARGAON","Maharashtra Water Resources Department","20° 23 ' 26""","79° 10 ' 46""",1983,"Godavari","Chargaon","Varora","II","Earthfill_Embankment",14.4,3065,428000,19170000,12921900,17340000,"I",1450.5
996,"MH09LH1008","POTHARA","Maharashtra Water Resources Department","20° 33 ' 7""","79° 2 ' 21""",1983,"Godavari","Pothara","Samudrapur","II","Earthfill_Embankment",18.21,2306,318000,38420000,15960000,34720000,"I",1732
997,"MH09HH1009","BURAI","Maharashtra Water Resources Department","21° 9 ' 16""","74° 22 ' 40""",1988,"Tapi","Burai","Sakri","III","Earthfill_Embankment",30.6,1013,168000,21330000,31440000,14210000,"I",2149
998,"MH09HH1010","ERAI","Maharashtra Water Resources Department","20° 7 ' 11""","79° 15 ' 57""",1983,"Godavari","Erai","Bhadravati","II","Earthfill_Embankment",30,1620,985000,226500000,5.8e+07,1.93e+08,"HS",2610
999,"MH09HH1011","BHATSA","Maharashtra Water Resources Department","19° 30 ' 47""","73° 25 ' 3""",1983,"West Flowing Rivers from Tapi to Tadri","Bhatsa and Chorna","Shahapur","III","Other",88.5,959,18250000,976100000,27250000,942100000,"I",5342
1000,"MH09MH1012","LOWER PUS","Maharashtra Water Resources Department","19° 49 ' 6""","77° 40 ' 48""",1983,"Godavari","Pus","Mahagaon","II","Earthfill_Embankment",28,3346,6167000,81160000,15890000,59630000,"I",5437
1001,"MH09MH1013","VIBHUTIWADI","Maharashtra Water Resources Department","17° 28 ' 10""","74° 42 ' 34""",1983,"Krishna","Gharkhada","Atpadi","III","Earthfill_Embankment",16.21,1027,141000,1330000,3380000,1160000,"I",16.62
1002,"MH09LH1014","HANJAGI","Maharashtra Water Resources Department","17° 32 ' 0""","76° 6 ' 59""",1983,"Krishna","Local Nalla","Akkalkot","II","Earthfill_Embankment",12.1,811,144000,1812000,530000,1586000,"I",373.6
1003,"MH09MH1015","KALAMBA","Maharashtra Water Resources Department","16° 39 ' 28""","74° 12 ' 44""",1983,"Krishna","Katyani Nalla","Karvir","III","Earthfill_Embankment",16.26,1237,276000,2750000,631000,2545000,"I/S",11.5
1004,"MH09LH1016","CHORKANDA","Maharashtra Water Resources Department","20° 23 ' 40""","79° 10 ' 33""",1983,"Godavari","Local Nalla","Chandrapur","III","Earthfill_Embankment",12.22,1029,0,2050000,NA,NA,"I",NA
1005,"MH09MH1017","KARLE","Maharashtra Water Resources Department","18° 8 ' 31""","73° 0 ' 0""",1984,"West Flowing Rivers from Tapi to Tadri","Local Nala","Shriwardhan","IV","Earthfill_Embankment",23.5,413,216910,2084000,580000,2050000,"I/S",38
1006,"MH09MH1018","KAWADASAR","Maharashtra Water Resources Department","20° 17 ' 52""","73° 38 ' 5""",1984,"Godavari","Local Nalla","Dindori.","III","Earthfill_Embankment",18.15,340,169500,1684000,610000,1654000,"I",57.99
1007,"MH09MH1019","AUSARE","Maharashtra Water Resources Department","19° 4 ' 0""","73° 20 ' 36""",1984,"West Flowing Rivers from Tapi to Tadri","Local Nala","Karjat","III","Earthfill_Embankment",20.62,552,170000,1954000,286000,1931000,"I",58
1008,"MH09MH1020","DHASAI","Maharashtra Water Resources Department","19° 15 ' 40""","73° 36 ' 30""",1984,"West Flowing Rivers from Tapi to Tadri","Local Nala","Murbad","III","Earthfill_Embankment",20.5,597,242920,5012000,1119000,4477000,"I",60.35
1009,"MH09LH1021","PIMPALGAON TAPPA","Maharashtra Water Resources Department","19° 3 ' 33""","75° 15 ' 56""",1984,"Godavari","Local Nalla","Asthi","III","Earthfill_Embankment",12.55,539,76270,1048000,460000,928000,"I",81
1010,"MH09MH1022","VAIRAGWADI","Maharashtra Water Resources Department","16° 9 ' 37""","74° 21 ' 43""",1984,"Krishna","Local Nalla","Gadhinglaj","III","Earthfill_Embankment",20.34,845,143000,1510000,299000,1470000,"I",96
1011,"MH09LH1023","CHINCHALA","Maharashtra Water Resources Department","20° 45 ' 30""","79° 20 ' 24""",1984,"Godavari","Local Nalla","Bhiwapur","II","Earthfill_Embankment",13.28,822,161000,2265000,64850,2159000,"I",96.93
1012,"MH09MH1024","ZAPADE","Maharashtra Water Resources Department","16° 50 ' 22""","73° 30 ' 57""",1984,"West Flowing Rivers from Tapi to Tadri","Local Nala","Lanja","III","Earthfill_Embankment",25.06,279,166000,1671000,243000,1634000,"I",104.32
1013,"MH09MH1025","KUDKI","Maharashtra Water Resources Department","18° 12 ' 40""","73° 0 ' 12""",1984,"West Flowing Rivers from Tapi to Tadri","Local Nala","Srivardhan","IV","Earthfill_Embankment",24.3,347,207360,1875000,290000,1802000,"I/S",106
1014,"MH09MH1026","VESRAF","Maharashtra Water Resources Department","16° 35 ' 6""","73° 52 ' 3""",1984,"Krishna","Rup","Gaganbawada","III","Earthfill_Embankment",19.21,603,22000,3370000,270000,3320000,"I",106
1015,"MH09LH1027","RANWADI","Maharashtra Water Resources Department","21° 19 ' 14""","78° 27 ' 26""",1984,"Godavari","Local Nalla","Narkher","II","Earthfill_Embankment",14.08,365,115000,1452000,38810,1381000,"I",107
1016,"MH09LH1028","DONGARGAON","Maharashtra Water Resources Department","20° 5 ' 34""","75° 27 ' 52""",1984,"Godavari","Local Nalla","Aurangabad","II","Earthfill_Embankment",11.7,923,48000,704000,630000,621000,"I",162
1017,"MH09LH1029","BABULGAON","Maharashtra Water Resources Department","20° 3 ' 48""","75° 31 ' 22""",1984,"Godavari","Local Nalla","Aurangabad","II","Earthfill_Embankment",12.15,720,68000,749000,276000,664000,"I",165
1018,"MH09MH1030","JATEGAON","Maharashtra Water Resources Department","20° 6 ' 2""","73° 30 ' 38""",1984,"West Flowing Rivers from Tapi to Tadri","Rashni","Trimbakeshwar","III","Earthfill_Embankment",18.94,424,150550,1732000,3900000,1674000,"I",167.21
1019,"MH09LH1031","DHABA","Maharashtra Water Resources Department","19° 37 ' 22""","79° 40 ' 56""",1984,"Godavari","Local Nalla","Gondpipai","III","Earthfill_Embankment",10.58,1455,153000,2530000,849000,2430000,"I",173
1020,"MH09LH1032","DEULGAON KUMBHEPAL","Maharashtra Water Resources Department","19° 57 ' 58""","76° 29 ' 16""",1984,"Godavari","Local Nalla","Lonar","II","Earthfill_Embankment",13.36,990,193000,2410000,7079000,2060000,"I",175
1021,"MH09MH1033","CHINCHWAD","Maharashtra Water Resources Department","20° 5 ' 10""","73° 28 ' 30""",1992,"Krishna","Local Nalla","Mulshi","III","Earthfill_Embankment",21.3,374,154000,1529000,230000,1464000,"I",183.29
1022,"MH09MH1034","MALGAON CHINCHPADA","Maharashtra Water Resources Department","20° 36 ' 55""","73° 56 ' 50""",1983,"Tapi","Darchabud","Kalwan","III","Earthfill_Embankment",23.39,331,128000,2820000,461750,2720000,"I",188
1023,"MH09MH1035","EKLAHARE","Maharashtra Water Resources Department","20° 24 ' 39""","73° 45 ' 15""",1984,"Godavari","Local Nalla","Dindori.","III","Earthfill_Embankment",17.4,510,246840,3540000,751300,3472000,"I",188
1024,"MH09MH1036","JAMBHURDE","Maharashtra Water Resources Department","19° 9 ' 41""","73° 29 ' 45""",1984,"West Flowing Rivers from Tapi to Tadri","Local Nala","Murbad","III","Earthfill_Embankment",24.99,400,322000,3064000,390000,2976000,"I",207
1025,"MH09LH1037","CHABRA","Maharashtra Water Resources Department","19° 19 ' 52""","77° 26 ' 58""",1984,"Godavari","Local Nalla","Hadgaon...","II","Earthfill_Embankment",14.86,680,178000,1822000,1107000,1707000,"I",208
1026,"MH09LH1038","MANDVI","Maharashtra Water Resources Department","19° 47 ' 46""","78° 15 ' 59""",1998,"Godavari","Mandvi","Jintur","II","Earthfill_Embankment",22.3,1180,250000,1781000,6e+05,1655000,"I",839
